#{"t_start": 1592064354.734508, "env_id": "futbol-v1"}
r,l,t
-351.57442,300,1.51132
-387.589797,300,1.631426
378.434312,300,1.752957
2013.280689,300,2.281243
562.285252,300,2.382956
999.402269,300,2.488741
771.298229,300,2.634473
478.651142,300,2.734074
-924.126719,300,2.831499
435.824451,300,2.925543
830.169081,300,3.052278
-1161.187875,300,3.142907
607.380728,300,3.241345
1813.290075,300,3.380771
582.279702,300,3.483452
977.140123,300,3.588708
561.071099,300,3.692544
-759.470633,300,3.830122
637.165438,300,3.929354
2402.039903,300,4.038678
2089.347706,300,4.185536
852.423796,300,4.285588
-1377.915442,300,4.400034
728.003862,300,4.550918
203.282329,300,4.664131
1005.022684,300,4.770118
1241.284368,300,4.883995
688.088109,300,5.009544
689.020147,300,5.099632
1723.084058,300,5.192722
1306.262656,300,5.347046
-1647.764656,300,5.481799
1062.996892,300,5.631818
3041.494579,300,5.759842
1657.868403,300,5.929286
966.264947,300,6.044126
1970.601417,300,6.161032
693.486819,300,6.325344
743.846932,300,6.46332
608.184533,300,6.588912
-830.12196,300,6.770656
669.84632,300,6.895416
773.091912,300,7.017134
1116.928008,300,7.141046
611.642345,300,7.31336
1032.582073,300,7.449982
648.921883,300,7.59183
1531.539344,300,7.764705
697.348521,300,7.873114
946.05112,300,7.994002
760.286006,300,8.116229
2584.087088,300,8.291319
554.211798,300,8.420423
-859.311356,300,8.548966
2506.662459,300,8.743179
771.962806,300,8.871951
126.453313,300,8.984447
1783.056974,300,9.089467
737.745968,300,9.252437
393.666698,300,9.378562
528.975741,300,9.51547
445.689699,300,9.707456
973.170178,300,9.834628
134.823402,300,9.936762
1143.410855,300,10.100757
1047.886093,300,10.220593
486.777438,300,10.348074
552.93157,300,10.48371
690.826121,300,10.665124
-835.438188,300,10.785967
517.283216,300,10.885287
-930.136007,300,11.010024
-39.43876,300,11.099998
814.206289,300,11.191737
1147.021797,300,11.28301
838.426513,300,11.447064
-1031.018788,300,11.570668
727.167806,300,11.694259
533.373738,300,11.873748
907.940462,300,11.984969
932.252579,300,12.096168
745.044932,300,12.263832
575.956671,300,12.393338
-1179.419764,300,12.528882
623.017347,300,12.666607
1709.010885,300,12.846904
804.511084,300,12.962143
885.361177,300,13.05911
-692.030002,300,13.189499
-461.663547,300,13.286932
-1133.310695,300,13.410937
877.562667,300,13.545317
137.986391,300,13.717485
126.802666,300,13.838389
471.00614,300,13.962666
922.832916,300,14.106231
1224.796033,300,14.19902
1090.405988,300,14.293829
2322.515062,300,14.477619
-683.274694,300,14.616122
499.474919,300,14.751588
2538.13834,300,14.872283
3114.062883,300,15.032051
-1113.879163,300,15.152153
3279.964626,300,15.27894
868.983928,300,15.465422
390.90067,300,15.601122
-903.188433,300,15.729804
-1038.028425,300,15.856836
285.984596,300,16.023013
655.612986,300,16.143397
762.240368,300,16.261804
1867.638097,300,16.434098
796.261955,300,16.561267
1092.979102,300,16.687724
707.311099,300,16.80753
1248.784406,300,16.937179
-1185.850499,300,17.027479
2269.105723,300,17.162039
-1568.373819,300,17.33468
743.012325,300,17.454428
-963.036823,300,17.576593
833.98233,300,17.743354
641.004292,300,17.852105
2236.91341,300,17.944065
286.226331,300,18.034526
-869.249948,300,18.163465
808.072844,300,18.253753
1073.454609,300,18.36532
593.872756,300,18.52892
-1069.037951,300,18.652689
1045.788889,300,18.772659
684.848743,300,18.873928
-893.641738,300,19.003374
-1480.952363,300,19.094204
783.039665,300,19.183801
2398.940951,300,19.320815
840.783453,300,19.44368
464.553818,300,19.564845
740.875164,300,19.728044
